id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
95294,2020-05-29 13:30:01,危地马拉,4348,0,565,80,0,,203.0,0.0,72.0,12.0,0.0,119.0,
95290,2020-05-29 17:21:25,加蓬,2431,0,668,14,0,,,,,,,,
95291,2020-05-29 06:56:07,苏丹,4346,0,749,195,0,,200.0,0.0,161.0,11.0,0.0,28.0,
87435,2020-05-29 13:01:25,利比亚,105,0,41,5,0,,6.0,0.0,1.0,1.0,0.0,4.0,
95287,2020-05-28 10:59:35,圣马丁岛,77,0,59,15,0,,,,,,,,
95046,2020-05-29 07:13:27,土耳其,160979,0,124369,4461,0,,1182.0,0.0,1576.0,30.0,0.0,-424.0,
95047,2020-05-29 13:05:52,巴布亚新几内亚,8,0,8,0,0,,0.0,,0.0,0.0,,0.0,
95000011,2020-05-29 11:35:35,多米尼加共和国,16068,0,8952,485,0,,345.0,0.0,162.0,11.0,0.0,172.0,
95076,2020-05-29 12:48:07,约旦,728,0,497,9,0,,8.0,0.0,0.0,0.0,0.0,8.0,
9532556,2020-05-29 17:23:21,亚美尼亚,8676,0,3297,120,0,,460.0,0.0,10.0,7.0,0.0,443.0,
811192,2020-05-29 13:05:04,圣基茨和尼维斯,15,0,15,0,0,,0.0,,0.0,0.0,,0.0,
89665,2020-05-28 11:46:32,瓜德罗普,161,0,115,14,0,,,,,,,,
94367,2020-05-28 11:32:31,安提瓜和巴布达,25,0,19,3,0,,,,,,,,
95215,2020-05-29 13:26:38,玻利维亚,8387,0,738,293,0,,619.0,0.0,49.0,13.0,0.0,557.0,
95693,2020-05-29 20:14:42,哥伦比亚,25406,0,6687,855,0,,40.0,0.0,22.0,33.0,0.0,-15.0,
879903,2020-05-29 13:03:30,圣文森特和格林纳丁斯,25,0,14,0,0,,7.0,0.0,0.0,0.0,0.0,7.0,
